danho,ciclo,Cod.Asign,Asignatura,Cod.Car.Sec,Cod.Curso,Convocatoria,Anho,Semestre,Aprobado,Anho.Firma,Primer.Par,Segundo.Par,AOT,Primer.Rec,Segundo.Rec,Nota.Final,Tercer.Par,Asis,Cuarto.Par,4P_60,id_anony
2012,2,9001,CALCULO 1,MCT-PLS09 ,1,1,2012,2,S,2012,9,24,3,0,0,2.0,0.0,1.0,,,es_1366
2012,2,9001,CALCULO 1,MCT-PLS09 ,1,1,2012,2,N,0,5,6,1,0,0,0.0,0.0,1.0,,,es_1510
2012,2,9001,CALCULO 1,MCT-PLS09 ,1,1,2012,2,N,0,18,6,3,0,0,0.0,0.0,1.0,,,es_1514
2012,2,9001,CALCULO 1,MCT-PLS09 ,1,1,2012,2,N,2012,15,18,4,0,0,1.0,0.0,1.0,,,es_1431
2012,2,9001,CALCULO 1,MCT-PLS09 ,1,1,2012,2,S,2012,12,22,3,39,0,2.0,0.0,1.0,,,es_1539
2012,2,9001,CALCULO 1,MCT-PLS09 ,1,1,2012,2,S,2012,20,32,3,0,0,5.0,0.0,1.0,,,es_1547
2012,2,9001,CALCULO 1,MCT-PLS09 ,1,1,2012,2,S,2012,21,12,3,0,0,2.0,0.0,1.0,,,es_1441
2012,2,9001,CALCULO 1,MCT-PLS09 ,1,1,2012,2,N,0,6,7,2,0,0,0.0,0.0,1.0,,,es_1588
2012,2,9001,CALCULO 1,MCT-PLS09 ,1,1,2012,2,S,2012,9,20,4,46,0,2.0,0.0,1.0,,,es_1596
2012,2,9001,CALCULO 1,MCT-PLS09 ,1,1,2012,2,S,2012,18,34,5,0,0,4.0,0.0,1.0,,,es_1598
2012,2,9001,CALCULO 1,MCT-PLS09 ,1,1,2012,2,S,2012,23,33,6,0,0,5.0,0.0,1.0,,,es_1603
2012,2,9001,CALCULO 1,MCT-PLS09 ,1,1,2012,2,N,0,12,19,2,0,0,0.0,0.0,1.0,,,es_1607
2012,2,9001,CALCULO 1,MCT-PLS09 ,1,1,2012,2,S,2012,13,24,2,0,0,1.5,0.0,1.0,,,es_1622
2012,2,9001,CALCULO 1,MCT-PLS09 ,1,1,2012,2,N,0,9,0,1,0,0,0.0,0.0,0.0,,,es_1478
2012,2,9001,CALCULO 1,MCT-PLS09 ,1,1,2012,2,S,2012,14,29,5,0,0,5.0,0.0,1.0,,,es_1623
2012,2,9001,CALCULO 1,MCT-PLS09 ,1,1,2012,2,N,2012,15,17,2,26,0,0.0,0.0,1.0,,,es_1629
2012,2,9001,CALCULO 1,MCT-PLS09 ,1,1,2012,2,N,2012,15,9,4,26,0,1.0,0.0,1.0,,,es_1400
2012,2,9001,CALCULO 1,MCT-PLS09 ,1,1,2012,2,S,2012,20,30,4,0,0,5.0,0.0,1.0,,,es_1637
2012,2,9001,CALCULO 1,MCT-PLS09 ,1,1,2012,2,S,2012,18,27,5,0,0,3.0,0.0,1.0,,,es_1076
2012,2,9001,CALCULO 1,MCT-PLS09 ,1,1,2012,2,N,0,14,12,2,24,0,0.0,0.0,1.0,,,es_1662
2012,2,9001,CALCULO 1,MCT-PLS09 ,1,1,2012,2,S,2012,21,25,3,0,0,5.0,0.0,1.0,,,es_1666
2012,2,9001,CALCULO 1,MCT-PLS09 ,1,1,2012,2,S,2012,21,30,6,0,0,5.0,0.0,1.0,,,es_1677
2012,2,9001,CALCULO 1,MCT-PLS09 ,1,1,2012,2,N,0,12,9,3,31,0,0.0,0.0,1.0,,,es_1682
2012,2,9001,CALCULO 1,MCT-PLS09 ,1,1,2012,2,S,2012,15,24,6,0,0,2.0,0.0,1.0,,,es_1693
2012,2,9001,CALCULO 1,MCT-PLS09 ,1,1,2012,2,N,2012,8,12,4,26,0,1.0,0.0,1.0,,,es_1719
2012,2,9001,CALCULO 1,MCT-PLS09 ,1,1,2012,2,N,0,11,9,2,16,0,0.0,0.0,1.0,,,es_1726
2012,2,9001,CALCULO 1,MCT-PLS09 ,1,1,2012,2,S,2012,15,16,2,0,0,2.0,0.0,1.0,,,es_1728
2012,2,9001,CALCULO 1,MCT-PLS09 ,1,1,2012,2,N,0,10,15,2,0,0,0.0,0.0,1.0,,,es_1734
2012,2,9001,CALCULO 1,MCT-PLS09 ,1,1,2012,2,S,2011,21,21,0,0,0,3.0,0.0,0.0,,,es_1425
2012,2,9001,CALCULO 1,MCT-PLS09 ,1,1,2012,2,N,0,6,14,4,16,0,0.0,0.0,1.0,,,es_1742
2012,2,9001,CALCULO 1,MCT-PLS09 ,1,1,2012,2,N,0,9,8,1,0,0,0.0,0.0,1.0,,,es_1748
2012,2,9001,CALCULO 1,MCT-PLS09 ,1,1,2012,2,S,2012,17,27,4,0,0,3.0,0.0,1.0,,,es_1756
2012,2,9001,CALCULO 1,MCT-PLS09 ,1,1,2012,2,N,2012,9,15,4,46,0,1.0,0.0,1.0,,,es_1757
2012,2,9001,CALCULO 1,MCT-PLS09 ,1,1,2012,2,N,0,8,0,2,0,0,0.0,0.0,0.0,,,es_1762
2012,2,9001,CALCULO 1,MCT-PLS09 ,1,1,2012,2,S,2012,19,21,3,0,0,3.0,0.0,1.0,,,es_1778
2012,2,9001,CALCULO 1,MCT-PLS09 ,1,1,2012,2,N,2012,23,16,3,0,0,1.0,0.0,1.0,,,es_1782
2012,2,9002,FISICA 1,MCT-PLS09 ,1,1,2012,2,S,2011,0,20,0,0,0,2.0,0.0,0.0,,,es_1116
2012,2,9002,FISICA 1,MCT-PLS09 ,1,1,2012,2,N,2012,16,20,6,0,0,0.0,0.0,1.0,,,es_1510
2012,2,9002,FISICA 1,MCT-PLS09 ,1,1,2012,2,S,2011,6,23,7,0,0,2.0,0.0,0.0,,,es_1127
2012,2,9002,FISICA 1,MCT-PLS09 ,1,1,2012,2,N,2012,13,20,7,0,0,0.0,0.0,1.0,,,es_1514
2012,2,9002,FISICA 1,MCT-PLS09 ,1,1,2012,2,S,2012,18,22,6,0,0,3.0,0.0,1.0,,,es_1431
2012,2,9002,FISICA 1,MCT-PLS09 ,1,1,2012,2,S,2012,15,14,7,0,0,2.0,0.0,1.0,,,es_1539
2012,2,9002,FISICA 1,MCT-PLS09 ,1,1,2012,2,S,2012,20,30,7,0,0,5.0,0.0,1.0,,,es_1547
