id_anony,Cod.Car.Sec,Anho_in,Anho_out,tardoCB,PasoCB,recurso,recursadas_s1,Cant.Mat.Aprob,prom_al1,prom_c1,prom_dt,prom_f1,prom_ga,prom_gd,prom_1er_S
es_1756,MCT-PLS09 ,2012,2015,3,1,7,0,20,2.0,3.0,0.0,3.0,5.0,0.0,3.25
es_1778,MCT-PLS09 ,2012,2016,4,1,8,0,20,1.5,3.0,0.0,2.0,4.0,0.0,2.625
es_1815,MCT-PLS13 ,2013,2018,5,1,12,2,21,5.0,4.0,3.0,4.0,3.0,3.0,3.6666666666666665
es_1830,MCT-PLS13 ,2013,2015,2,1,1,0,20,4.0,2.0,3.0,4.0,5.0,5.0,3.8333333333333335
es_1841,MCT-PLS13 ,2013,2017,4,1,7,0,20,1.5,4.0,3.0,4.0,4.0,5.0,3.5833333333333335
es_1860,MCT-PLS13 ,2013,2020,7,1,30,1,21,2.5,2.0,3.0,4.0,3.0,5.0,3.142857142857143
es_1863,MCT-PLS13 ,2013,2015,2,1,1,0,20,4.0,2.0,5.0,3.0,5.0,5.0,4.0
es_1864,MCT-PLS13 ,2013,2018,5,1,17,1,20,3.0,2.0,2.5,2.0,4.0,4.0,2.857142857142857
es_1876,MCT-PLS13 ,2013,2015,2,1,1,0,20,4.0,3.0,5.0,4.0,5.0,5.0,4.333333333333333
es_1882,MCT-PLS13 ,2013,2016,3,1,3,0,20,4.0,2.0,5.0,4.0,5.0,5.0,4.166666666666667
es_1891,MCT-PLS13 ,2013,2015,2,1,1,0,20,4.0,4.0,5.0,5.0,5.0,5.0,4.666666666666667
es_1904,MCT-PLS13 ,2013,2017,4,1,9,1,20,4.0,2.0,3.0,3.0,5.0,5.0,3.5714285714285716
es_1928,MCT-PLS13 ,2013,2015,2,1,1,0,20,5.0,5.0,5.0,5.0,5.0,5.0,5.0
es_1938,MCT-PLS13 ,2013,2016,3,1,2,0,20,4.0,4.0,3.0,4.0,5.0,4.0,4.0
es_1943,MCT-PLS13 ,2013,2015,2,1,1,0,20,5.0,3.0,3.0,5.0,5.0,5.0,4.333333333333333
es_1948,MCT-PLS13 ,2013,2016,3,1,3,3,21,5.0,3.0,4.0,3.0,3.0,5.0,3.8333333333333335
es_1964,MCT-PLS13 ,2013,2015,2,1,1,0,20,5.0,5.0,4.0,5.0,5.0,5.0,4.833333333333333
es_1973,MCT-PLS13 ,2013,2018,5,1,14,0,21,3.0,3.0,3.0,3.0,5.0,5.0,3.6666666666666665
es_2000,MCT-PLS13 ,2013,2015,2,1,1,0,20,5.0,5.0,3.0,4.0,5.0,5.0,4.5
es_2008,MCT-PLS13 ,2013,2018,5,1,12,4,21,5.0,2.5,5.0,2.5,4.0,5.0,3.625
es_2022,MCT-PLS13 ,2013,2015,2,1,1,0,20,5.0,2.0,1.5,4.0,5.0,4.0,3.5833333333333335
es_2024,MCT-PLS13 ,2013,2019,6,1,10,0,21,2.0,2.0,4.0,4.0,5.0,4.0,3.5
es_2031,MCT-PLS13 ,2013,2018,5,1,7,2,21,3.0,1.5,5.0,3.0,2.5,5.0,3.0714285714285716
es_2034,MCT-PLS13 ,2013,2018,5,1,13,1,20,3.0,5.0,4.0,3.0,5.0,4.0,4.0
es_2036,MCT-PLS13 ,2013,2017,4,1,4,0,21,3.0,1.5,3.0,3.0,5.0,3.0,3.0833333333333335
es_2136,MCT-PLS13 ,2014,2018,4,1,12,0,21,5.0,1.3333333333333333,4.0,3.0,5.0,2.0,3.388888888888889
es_2144,MCT-PLS13 ,2014,2017,3,1,4,0,21,5.0,2.0,5.0,5.0,4.0,5.0,4.333333333333333
es_2156,MCT-PLS13 ,2014,2020,6,1,14,1,21,5.0,3.0,5.0,3.0,5.0,5.0,4.333333333333333
es_2161,MCT-PLS13 ,2014,2018,4,1,7,0,21,5.0,2.0,4.0,3.0,2.0,2.0,3.0
es_2166,MCT-PLS13 ,2014,2020,6,1,7,2,21,3.0,4.0,5.0,5.0,4.0,5.0,4.333333333333333
es_2173,MCT-PLS13 ,2014,2018,4,1,6,0,21,4.0,3.0,4.0,3.0,2.333333333333333,4.0,3.388888888888889
es_2188,MCT-PLS13 ,2014,2016,2,1,0,0,21,5.0,4.0,5.0,4.0,5.0,5.0,4.666666666666667
es_2200,MCT-PLS13 ,2014,2018,4,1,7,0,21,5.0,2.0,5.0,3.0,5.0,5.0,4.166666666666667
es_2248,MCT-PLS13 ,2014,2018,4,1,6,0,21,5.0,4.0,5.0,4.0,5.0,4.0,4.5
es_2259,MCT-PLS13 ,2014,2016,2,1,0,0,21,5.0,5.0,5.0,5.0,5.0,5.0,5.0
es_2263,MCT-PLS13 ,2014,2016,2,1,0,0,21,5.0,4.0,5.0,4.0,5.0,5.0,4.666666666666667
es_2282,MCT-PLS13 ,2014,2016,2,1,0,0,21,5.0,5.0,5.0,5.0,5.0,5.0,5.0
es_2321,MCT-PLS13 ,2014,2017,3,1,6,0,21,5.0,4.0,2.0,5.0,5.0,5.0,4.333333333333333
es_2322,MCT-PLS13 ,2014,2016,2,1,0,0,21,5.0,3.0,4.0,3.0,5.0,5.0,4.166666666666667
es_2358,MCT-PLS13 ,2014,2020,6,1,15,0,21,4.0,2.0,5.0,2.0,4.0,5.0,3.6666666666666665
es_2372,MCT-PLS13 ,2014,2016,2,1,0,0,21,5.0,2.0,5.0,4.0,5.0,4.0,4.166666666666667
es_2397,MCT-PLS13 ,2014,2016,2,1,0,0,21,5.0,5.0,4.0,3.0,5.0,4.0,4.333333333333333
